"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.05,"DUI: Controlled Substance or Metabolite 3rd Offense"
"traffic offense, minor","public order","societal","community safety",0.1,"occured",0.5,"Required Financial Responsibility"
"public order offense, other, conspiracy","public order","community","community safety",0.5,"conspiracy",0.3,"Conspiracy Criminal Use Of Communication Facility"
"distribution other controlled substances","drug","community","community safety",0.8,"occured",0.1,"Knowing/In Mftr/Dist Of Design Drug"
"burglary, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.15,"Criminal Conspiracy Engaging Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"other court offense","public order","institutional","financial or economic",0.4,"occured",0.35,"Barratry-Vex W/Unjust Vexatious Suit"
"public order offense, other","public order","societal","community safety",0.6,"occured",0.3,"Corrupt Organizations - Employee"
"violent offense other, conspiracy","violent","community","community safety",0.8,"conspiracy",0.6,"Consp To Vio 911b1, 911b2, 911b3"
"other court offense, conspiracy","public order","institutional","community safety",0.7,"conspiracy",0.1,"Conspiracy Tamper With Public Record/Information"
"conspiracy to commit murder","violent","individual","physical",0.9,"conspiracy",0.6,"Conspiracy Deal In Proc Unl Act/Intent To Promote"
"forgery/fraud, conspiracy","property","societal","financial or economic",0.7,"conspiracy",0.3,"Conspiracy Knowledge That Property Is Proceeds of Illegal Act"
"financial crimes","property","societal","financial or economic",0.7,"occured",0.2,"Pers Inc Tax Viol Fraud Doc"
"other court offense, conspiracy","public order","institutional","financial or economic",0.6,"conspiracy",0.15,"Conspiracy Tamper With Public Record/information"
"financial crimes conspiracy","property","institutional","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Misapply Entrusted/Govt/Fin Inst Prop"
"taxation offense, conspiracy","public order","societal","financial or economic",0.6,"conspiracy",0.25,"Conspiracy Pers Inc Tax Viol Fraud Doc"
"not known/missing","not known/missing","individual","financial or economic",0,"occured",1,"Notice Of Change Of Name Or Address"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.4,"Fraudulent Traffic In Food Orders"
"financial crimes conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Conspiracy Fraudulent Traffic In Food Orders"
"possession/use of marijuana","drug","individual","community safety",0.1,"occured",0.1,"Distribute Small Amt Marijuana/Not For Sale"
"sexual assault","violent","individual","emotional or psychological",1,"occured",0.1,"Indecent Assault Person With Mental Disability"
"weapons offense","public order","community","community safety",0.4,"occured",0.1,"Carrying Loaded Weapon"
"vehicular manslaughter","violent","individual","physical",0.95,"occured",0.05,"Homicide By Vehicle"
"petty theft (=<$500)","property","individual","financial or economic",0.6,"occured",0.1,"Retail Theft - Under ring"
"escape from custody, attempted","public order","institutional","community safety",0.7,"attempted",0.1,"Criminal Attempt Escape"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Access Device Used To Obt Or Att Obt Prop/Service"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Disorderly Conduct - Unreasonable Noise"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Exceed Max Speed Lim Estb By 26 MPH"
"forgery/fraud","property","institutional","financial or economic",0.9,"occured",0.1,"Insurance Fraud"
"weapons offense","public order","community","community safety",0.7,"occured",0.5,"Crime Committed W/Firearm"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Individual Under Alcohol and Drugs - 1st Offense"
"receiving stolen property","property","individual","financial or economic",0.7,"occured",0.3,"Display Known Fict/Stolen/Issued For Insp"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 13 MPH"
"weapons offense","public order","community","community safety",0.8,"occured",0.05,"Possess Weapon On School Property"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Assault By Prisoner"
"aggravated assault, conspiracy","violent","individual","physical",0.95,"conspiracy",0.1,"Criminal Conspiracy Aiding Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"public order offense, other","public order","institutional","community safety",0.3,"occured",0.5,"Criminal Solicitation Location Of Registration Permit"
"other property offense","property","institutional","financial or economic",0.7,"occured",0.2,"Trademark Counterfeiting - Manufactures"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Operate Head Lamps During Hours Of Darkness"
"not known/missing","not known/missing","societal","community safety",0.1,"occured",0.95,"Subsequent Conviction General Offenses"
"obstruction/resisting, conspiracy","public order","institutional","community safety",0.5,"conspiracy",0.1,"Conspiracy Obstruct Admin Law/Other Govt Func"
"arson","property","community","community safety",0.8,"occured",0.2,"Dangerous Burning"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.2,"Duty of Driver in Emergency Response Areas - If Pass in Nonadjacent Lane is Impossible"
"other court offense","public order","institutional","community safety",0.4,"occured",0.5,"Fail Of Occ To Not Police Dept Acc"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Passing Where Prohibited"
"financial crimes","property","institutional","financial or economic",0.7,"occured",0.4,"Diversion Of Services"
"public order offense, other","public order","community","community safety",0.1,"occured",0.15,"Provide Cert Of Inspec W/O Valid Proof Of Insuranc"
"public order offense, other","public order","community","community safety",0.2,"occured",0.2,"Operating without a License"
"public order offense, other","public order","community","community safety",0.3,"occured",0.5,"Engage In Unprofessional Conduct/Incompetancy"
"other court offense","public order","institutional","community safety",0.2,"occured",0.15,"Failing To Produce Business Records When Requested"
"public order offense, other","public order","community","community safety",0.1,"occured",0.85,"Park Operating Policy"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.8,"conspiracy",0.1,"Criminal Conspiracy Aiding Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"rape","violent","individual","physical",1,"occured",0.05,"IDSI Threat Forcible Compulsion"
"kidnapping, conspiracy","violent","individual","physical",1,"conspiracy",0.05,"Conspiracy Kidnap To Facilitate A Felony"
"public order offense, other","public order","individual","physical",0.1,"occured",0.7,"No Eye Protection Device"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.2,"Exceed Max Speed Lim Estb By 50 MPH"
"burglary, attempted","property","individual","financial or economic",0.5,"attempted",0.1,"Criminal Attempt Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"other drug offense","drug","community","community safety",0.7,"occured",0.25,"Sell Noncont Subs - Similar To Cont Subst"
"possession/use of unspecified drug","drug","individual","physical",0.4,"attempted",0.3,"Criminal Attempt Int Poss Contr Subst By Per Not Reg"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 25 MPH Residence Dist. By 15 MPH"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Criminal Conspiracy Engaging Theft From A Motor Vehicle"
"kidnapping","violent","individual","emotional or psychological",0.9,"occured",0.15,"False Imprisonment of Minor/Not Parent"
"violent offense, other","violent","individual","physical",1,"occured",0.05,"Aggravated Cruelty to Animals - Torture"
"public order offense, other","public order","community","community safety",0.2,"occured",0.5,"Dec Bus Pract - Sale Less Than Quant"
"public order offense, other","public order","community","community safety",0.2,"occured",0.4,"Peddling And Soliciting"
"aggravated assault","violent","individual","physical",0.8,"occured",0.1,"Agg. Assault - Use Tear or Noxious Gas"
"aggravated assault, attempted","violent","individual","physical",0.9,"attempted",0.1,"Criminal Attempt Aggravated Assault - Attempts to cause or causes SBI to designated individuals"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.25,"Duty of Driver in Emergency Response Areas - Pass in Lane Not Adjacent to Area"
"child molestation","violent","individual","emotional or psychological",1,"occured",0,"Incest of Minor - Complainant Under 13 Years"
"commercialized vice","public order","community","community safety",0.6,"occured",0.2,"Prom Pros-Own House Of Prost/Or/Bus"
"commercialized vice","public order","community","community safety",0.6,"occured",0.2,"Prom Pros-Encourage Prostitution"
"not known/missing","not known/missing","societal","community safety",0.2,"occured",0.8,"Prom Pros-Transport Prost In Cmwlth"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.1,"False Stmt to Induce Agreement for Home Improvement Services"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"Driving In Right Lane"
"public order offense, other","public order","community","community safety",0.2,"occured",0.3,"Dispose Dom. Animal Carcass W/in 48 Hrs"
"offense against morals/decency","public order","individual","physical",0.7,"occured",0.2,"Neglect of Animals - Vet Care"
"weapons offense","public order","community","community safety",0.8,"occured",0.1,"Materially false written statement - purchase, delivery, transfer of firearm"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed 35 MPH In Urban Dist By 25 MPH"
"petty theft (=<$500)","property","individual","financial or economic",0.5,"occured",0.05,"Retail Theft - Alter Label/Pricing Marking"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.1,"Exceed 55 MPH In Other Loc By 30 MPH"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Forgery - Utters Forged Writing"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Pass Improp (Motorcycle)"
